label,message
phishing,br-icloud.com.br
benign,mp3raid.com/music/krizz_kaliko.html
benign,bopsecrets.org/rexroth/cr/1.htm
defacement,http://www.garage-pirenne.be/index.php?option=c
defacement,http://adventure-nicaragua.net/index.php?option
benign,http://buzzfil.net/m/show-art/ils-etaient-loin-
benign,espn.go.com/nba/player/_/id/3457/brandon-rush
benign,yourbittorrent.com/?q=anthony-hamilton-soulife
defacement,http://www.pashminaonline.com/pure-pashminas
benign,allmusic.com/album/crazy-from-the-heat-r16990
benign,corporationwiki.com/Ohio/Columbus/frank-s-benso
defacement,http://www.ikenmijnkunst.nl/index.php/expositie
benign,myspace.com/video/vid/30602581
defacement,http://www.lebensmittel-ueberwachung.de/index.p
defacement,http://www.szabadmunkaero.hu/cimoldal.html?star
defacement,http://larcadelcarnevale.com/catalogo/palloncin
benign,quickfacts.census.gov/qfd/maps/iowa_map.html
benign,nugget.ca/ArticleDisplay.aspx?archive=true&e=11
benign,uk.linkedin.com/pub/steve-rubenstein/8/718/755
defacement,http://www.vnic.co/khach-hang.html
benign,baseball-reference.com/players/h/harrige01.shtm
phishing,signin.eby.de.com.zukruygxctzmmqi.civpro.co.za
benign,192.com/atoz/people/oakley/patrick/
benign,nytimes.com/1998/03/29/style/cuttings-oh-that-b
benign,escholarship.org/uc/item/5xt4952c
benign,songfacts.com/detail.php?id=13410
benign,casamanana.org/education/blba/
benign,http://hollywoodlife.com/2014/05/01/rihanna-ihe
phishing,http://www.marketingbyinternet.com/mo/e56508df6
benign,en.wikipedia.org/wiki/North_Dakota
benign,soaps.sheknows.com/daysofourlives/news/id/20259
benign,perfectpeople.net/celebrity-star/6920/gidget-ge
benign,media.caltech.edu/press_releases/13186
benign,wikiobits.com/Obits/TonyProudfoot
benign,vanderbilt.rivals.com/viewcoach.asp?coach=2079&
defacement,http://peluqueriadeautor.com/index.php?option=c
benign,movies.yahoo.com/shop?d=hv&cf=info&id=180034083
benign,cyndislist.com/us/pa/counties
malware,http://www.824555.com/app/member/SportOption.ph
defacement,http://www.raci.it/component/user/reset.html
phishing,https://docs.google.com/spreadsheet/viewform?fo
benign,psychology.wikia.com/wiki/Phonemes
benign,info.centriq.com/content/fivereasons
benign,articles.baltimoresun.com/1991-06-11/sports/199
benign,infinitysw.com/
benign,strawberrycreekgardens.com/
defacement,http://earth-sure.com/industrial-tech/everlast-
benign,spoke.com/dir/p/desantis/nick
benign,wordsmith.org/words/pignus.html
benign,http://interpark.com/displaycorner/FreeMarket.d
defacement,http://www.newtec.ac.uk/courses/health-and-soci
defacement,http://www.kingsmillshotel.com/spring/mothers-d
benign,almanac.logos.com/Denominations
benign,gaming.wikia.com/wiki/Backbreaker_(video_game)
benign,ceu.hu/
benign,registry.weddingchannel.com/coupledir/20108/C/R
benign,linkedin.com/pub/george-cleveland/7/80a/599
benign,sunshinemills.com/
benign,agoda.com/north_america/canada/montreal_qc/attr
benign,ctv.ca/generic/WebSpecials/sponsorship_scandal/
defacement,http://www.approvi.com.br/ck.htm
defacement,http://www.shaborooz.ir/index.php?view=article&
benign,veoox.com/tags/game.html
benign,chuckwalkertrio.blogspot.com/
benign,aerosolesshoes.org/
defacement,http://www.juventudelirica.com.br/index.html
defacement,http://www.myenrg.com/southwest/9-texas
benign,recipelink.com/msgbrd/board_14/2007/DEC/29094.h
defacement,http://www.musimagen.com/lista_socios.php?letra
benign,ideas.repec.org/f/pma235.html
benign,peopleaz.org/firstname/Fowlkes/6
benign,orensamtraktrip.wordpress.com/
phishing,retajconsultancy.com
benign,alexa.com/whatshot?q=james+arness
benign,jpopasia.com/group/arashi/discography/
benign,kitsapsun.com/photos/2011/feb/25/177999/
benign,local.yahoo.com/info-42862457-oakland-internati
benign,tripadvisor.com/Restaurant_Review-g680765-d1768
benign,articles.elitefts.com/articles/training-article
benign,broadwaystars.com/classic/?source=www.playbill.
defacement,http://www.pn-wuppertal.de/links/2-linkseite/5-
benign,forums.networkinfrastructure.info/motorola-wire
benign,youtube.com/watch?v=mwpoPQ1SPJU
benign,mccall-idchamber.org/
benign,chacha.com/question/who-said-the-quote-%27say-w
benign,friars.com/sports/m-baskbl/archive/prov-m-baskb
defacement,http://asociacionkaribu.org/index.php/servicios
phishing,http://www.martin-busker.de/administrator/help/
benign,pipl.com/directory/name/Whissell/180
benign,spokeo.com/John+Collet
defacement,http://www.parafiapiaski.pl/index.php?option=co
benign,http://fanpage.gr/family/gineka/%ce%b1%cf%85%cf
benign,faqs.org/copyright/handbook-for-the-individual-
benign,duckduckgo.com/1/c/Roman_Catholic_cathedrals_in
phishing,alexpay2.beget.tech
benign,http://worldoftanks.ru/ru/content/guide/payment
defacement,http://www.artedesignsas.it/catalogo.html?page=
benign,en.wikipedia.org/wiki/Lloyd_Bacon
benign,http://serverfault.com/questions/682832/squid-t
defacement,http://www.viamanaus.com.br/index.php?option=co
benign,ciajfk.com/harold.html
defacement,http://www.protect-effect.nl/diensten/62-telefo
benign,indyweek.com/artery/archives/2011/10/07/come-ba
benign,linkedin.com/pub/charles-gariepy/2/642/28
defacement,http://www.gst-ukraine.com.ua/ukraine/tours/275
phishing,facebook.unitedcolleges.net
phishing,http://www.bimabn.com/1-configurazione-supporto
benign,eyeappealoptometry.com/
benign,brophygen.com/
benign,icehockey.wikia.com/wiki/Dan_Blackburn
benign,gurufocus.com/news/116068/who-is-the-warren-buf
defacement,http://www.bg-ricevimenti.it/index.php/location
benign,stewstew.com/
benign,livingharvest.com/products/ice-cream-bars
benign,http://icicibank.com/Personal-Banking/offers/of
malware,http://9779.info/%E5%84%BF%E7%AB%A5%E7%AB%8B%E4
benign,bleacherreport.com/articles/300242-doug-harvey-
defacement,http://www.boeuf-soufflenheim.com/de.feed?type=
benign,artfacts.net/it/istituzion/ms--muzeum-sztuki-lo
benign,parsippanysoccerclub.org/
benign,international.uiowa.edu/services/language/allne
benign,btscene.eu/verified-search/torrent/franco+piers
benign,signature-editions.com/
benign,en.wikipedia.org/wiki/Blessed_by_a_Broken_Heart
defacement,http://www.trenker-bestattungen.de/index.php?op
benign,national.ca/Bold-Thinking/NATIONAL-Publications
phishing,halkbankparaf-para.com
benign,http://motthegioi.vn/the-gioi-cuoi/clip-dai-gia
benign,metroactive.com/papers/metro/01.29.98/idiotfles
benign,https://twitter.com/home?status=%E3%83%8C%E3%81
benign,http://correios.com.br/para-sua-empresa/comunic
benign,http://olx.ro/i2/electronice-si-electrocasnice/
defacement,http://www.aba-diagnostic.com/espace-prive/rese
benign,msn.foxsports.com/nhl/player/yann-sauve/720461
benign,hallmark.businessgreetings.com/
benign,musicstack.com/records-cds/toni+tony+tone
benign,nudecelebsnow.com/tags/1/victoria+justus.htm
defacement,http://www.paoarapanui.cl/index.php?option=com_
benign,worldwrestlinginsanity.com/am2/publish/ringofho
phishing,http://www.designeremdoces.com/components/com_c
benign,http://slashdot.org/submission/2916707/facebook
benign,facebook.com/people/Yui-Takeshita/1000016110157
benign,sportsposterwarehouse.com/items_388__grandprixc
benign,padmapper.com/search/apartments/Quebec/Montreal
benign,mrskin.com/christina-ricci-nude-c868.html
benign,lip-service.com/webzine/tag/post-apocalyptic-fa
defacement,http://www.tiendagnulinux.com.ar/calcomanias-en
defacement,http://chelurao.ru/index.php?option=com_content
benign,linkedin.com/pub/dir/elizabeth/scarborough
benign,cqgcr.ca/ang/producer01.php
benign,huffingtonpost.com/2011/10/24/south-carolina-pr
benign,http://qz.com/403774/quartz-daily-brief-japanes
benign,select.nytimes.com/gst/abstract.html?res=F70814
benign,startrekcostumes.net/
benign,en.wikipedia.org/wiki/Neil_Curtis
benign,music.carowinds.com/
malware,http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8
benign,newjersey.craigslist.org/
phishing,roverslands.net
